id;flow;type;actor;EN;RO
NODEL-fe28f97a-f312-4304-a955-1710891409330;FR-01 Eiffel Tower;Text;Teacher;Climb the Tour Eiffel, first.<br><br>;Urcă mai întâi pe Turul Eiffel.<br><br>
1ad6a268-a08a-44a8-a7ae-1652618922208;FR-01 Eiffel Tower;Text;Tutor;Welcome to Paris! First you have to learn how to move around.<br>;Bine ai venit în Paris! Mai întâi trebuie să înveți cum să te miști.<br>
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361;FR-01 Eiffel Tower;Text;Guide;Here is the Eiffel Tower!;Aici este Turnul Eiffel!
NODEL-5723adea-4f6c-4883-b93a-1710930693267;FR-01 Eiffel Tower;Text;Teacher;Sure!;Sigur!
NODEL-cb2a2e07-828e-4b09-aae5-1710930705800;FR-01 Eiffel Tower;Text;Teacher;Why are you asking?<br>;De ce întrebi?<br>
NODEL-054a099c-3b64-4154-a8b8-1712008446095;FR-01 Eiffel Tower;Text;Teacher;Well.. it seems like a videogame, isn't it?<br>;Păi.. pare un joc video, nu-i așa?<br>
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361-c9-aa;FR-01 Eiffel Tower;Text;Guide;Need to find at least 3 coins!;Trebuie să găsiți cel puțin 3 monede!
NODEL-347a6af4-a8ae-4e23-b995-1710935631414;FR-01 Eiffel Tower;Text;Tutor;This is a custom action from an Isolated Node!<br>;Aceasta este o acțiune personalizată de la un Nod Izolat!<br>
NODHD-2c2ce3c6-a992-4ddf-ab6b-1712008911691;FR-01 Eiffel Tower;Node Header;;What do you want to know?<br>;Ce vrei să știi?<br>
NODEL-ad9f781a-fbe4-4c9f-a8bb-1712008911691;FR-01 Eiffel Tower;Choice;Teacher;What is the Eiffel Tower?;Ce este Turnul Eiffel?
NODEL-d7d20660-68bd-4d95-8a05-1712008940440;FR-01 Eiffel Tower;Choice;Teacher;Where are we?<br>;Unde suntem?<br>
NODEL-737c811d-7a1d-485e-b0eb-1712008942785;FR-01 Eiffel Tower;Choice;Teacher;Is this place real?<br>;Este acest loc real?<br>
NODEL-b4c96a33-20ea-49d8-85bb-1712008976099;FR-01 Eiffel Tower;Text;Teacher;The famous tower designed and built by Mr Eiffell in 1887<br>;Faimosul turn proiectat și construit de domnul Eiffell în 1887<br>
NODEL-8d092ee4-1ec6-4927-a7ff-1712008981954;FR-01 Eiffel Tower;Text;Teacher;We are in Paris! the city of love!<br>;Suntem la Paris! orasul iubirii!<br>
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2;FR-01 Eiffel Tower;Text;Tutor;This is a custom action from an Isolated Node!<br>;Aceasta este o acțiune personalizată de la un Nod Izolat!<br>
NODEL-8ab110b4-081d-43da-a59b-1712331010391;FR-01 Eiffel Tower;Text;Guide;The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France.;Turnul Eiffel este un turn cu zăbrele din fier forjat pe Champ de Mars din Paris, Franța.
NODEL-a8afc7ca-5911-431d-b0c9-1713862706608;FR-01 Eiffel Tower;Text;Tutor;this is a test message to hear the quality of this syntetized voice.;acesta este un mesaj de testare pentru a auzi calitatea acestei voci sintetizate.
NODEL-fa753316-8cc1-4fb7-ad8c-1718630464116;FR-01 Eiffel Tower;Text;Tutor;Climb the stairs and get that coin. Then come back to me.<br>;Urcă scările și ia acea monedă. Apoi revino la mine.<br>
NODHD-78be6ab6-6044-4503-a0ee-1718630592780;FR-01 Eiffel Tower;Node Header;;Great! Are you ready for your first real mission?;Grozav! Ești pregătit pentru prima ta misiune adevărată?
NODEL-7a998f6a-b972-40d9-a1ff-1718630592780;FR-01 Eiffel Tower;Choice;Tutor;Yes!<br>;Da!<br>
NODEL-2a7100ef-d91c-4280-9d19-1718631126864;FR-01 Eiffel Tower;Choice;Tutor;No, I want to play around<br>;Nu, vreau să mă joc<br>
NODEL-d2abdba6-3598-4227-9f06-1718630702075;FR-01 Eiffel Tower;Text;Tutor;If you don't know where to go, follow the light beam in the sky!<br>;Dacă nu știi unde să mergi, urmărește fasciculul de lumină din cer!<br>
NODEL-063e20a2-44e3-40db-83d0-1718631089406;FR-01 Eiffel Tower;Text;Tutor;I saw Antura going to the Tour Eiffel. Get there as soon as possibile!;Am văzut-o pe Antura mergând la Turul Eiffel. Ajunge acolo cât mai curând posibil!
NODEL-850f9e47-e916-494c-877a-1718631244833;FR-01 Eiffel Tower;Text;Tutor;Ok. Come back to me when you are ready.<br>;Bine. Întoarce-te la mine când ești gata.<br>
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652;FR-01 Eiffel Tower;Text;Cook;Help me! Antura has messed my kitchen and i can't find the ingredients to make the Baguette<br>;Ajutați-mă! Antura mi-a încurcat bucătăria și nu găsesc ingredientele pentru a face Baguette<br>
NODEL-59ce79ca-2742-4081-ab69-1718640800362;FR-01 Eiffel Tower;Text;Major;I'm the Major of Paris. And this is the Notre Dame Cathedral<br>;Sunt maiorul Parisului. Și aceasta este Catedrala Notre Dame<br>
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762;FR-02 Pan au chocolate;Text;Tutor;WELCOME TO PAN AU CHOCOLATE<br>;Urcă mai întâi pe Turul Eiffel.<br><br>
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401;FR-02 Pan au chocolate;Text;Teacher;I AM THE PAN TEACHER<br>;--- to be translated ---
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579;FR-02 Pan au chocolate;Text;Major;PAN PAN PAN<br>;--- to be translated ---
NODEL-d805c5c0-24d2-4844-9c4c-1713862798640;FR-03 The School;Text;Major;;--- to be translated ---
